2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@11ccba6f]
2025-09-25 12:28:20 [restartedMain] INFO  m.s.MovieRecommendationSystemApplication - Starting MovieRecommendationSystemApplication using Java 17.0.16 with PID 19677 (/home/pratham/Documents/workspace-spring-tool-suite-4-4.27.0.RELEASE/Movie_Recommendation_System/target/classes started by pratham in /home/pratham/Documents/workspace-spring-tool-suite-4-4.27.0.RELEASE/Movie_Recommendation_System)
2025-09-25 12:28:20 [restartedMain] INFO  m.s.MovieRecommendationSystemApplication - No active profile set, falling back to 1 default profile: "default"
2025-09-25 12:28:20 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-09-25 12:28:20 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Registering scope 'request' with implementation [org.springframework.web.context.request.RequestScope@1163dbd5]
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Registering scope 'session' with implementation [org.springframework.web.context.request.SessionScope@491c28cf]
2025-09-25 12:28:20 [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-09-25 12:28:20 [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Creating instance of bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
2025-09-25 12:28:20 [restartedMain] TRACE o.s.b.f.s.DefaultListableBeanFactory - Returning cached instance of singleton bean 'autoConfigurationReport'
